SURVEY:  YSE
SNID:  2020ue
otherID: 
IAUC:    UNKNOWN
RA:        190.6949080  deg
DECL:       2.6595030  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.003 +- -99.0 (SPEC-Z)
GHOST_PHOTO_Z: 0.008 (W/ ASSOC.)
VETTED_HOST_GALAXY_STATUS: G 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (190.7076681, 2.6877749) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): SN 2020ue 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): 0.003000 
SEARCH_PEAKMJD: 58867.610
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.673
SPEC_CLASS: SN Ia
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 77.5
PARSNIP_S1: 0.246 +/- 0.037
PARSNIP_S2: 0.294 +/- 0.052
PARSNIP_S3: 0.258 +/- 0.017
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 52.3
SET_ZTF_FP: NA 
PEAK_SNR: 698.168
MAX_MJD_GAP(days): 47.890
NOBS_BEFORE_PEAK: 1
NOBS_TO_PEAK: 2
NOBS_AFTER_PEAK: 45
SEARCH_PEAKMAG: 12.876
SEARCH_PEAKFLT: g
FILTERS: rigz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ue.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.750 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 47
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.610 i NULL 228199.434 811.284 14.104 0.004 0x00
OBS: 58867.610 g NULL 707617.007 1013.534 12.876 0.002 0x00
OBS: 58874.590 g NULL 342551.289 857.921 13.663 0.003 0x00
OBS: 58874.600 i NULL 604471.972 1302.624 13.047 0.002 0x00
OBS: 58877.580 g NULL 632994.546 1451.834 12.997 0.002 0x00
OBS: 58877.590 r NULL 181066.157 661.327 14.355 0.004 0x00
OBS: 58883.560 i NULL 410047.399 843.639 13.468 0.002 0x00
OBS: 58931.450 g NULL 80837.734 273.720 15.231 0.004 0x00
OBS: 58931.450 r NULL 99286.807 296.603 15.008 0.003 0x00
OBS: 58941.420 z NULL 32998.357 211.585 16.204 0.007 0x00
OBS: 58941.420 g NULL 66071.836 282.666 15.450 0.005 0x00
OBS: 58943.360 r NULL 65618.364 272.666 15.457 0.005 0x00
OBS: 58949.360 z NULL 24608.594 261.788 16.522 0.012 0x00
OBS: 58949.360 r NULL 53540.519 232.556 15.678 0.005 0x00
OBS: 58956.440 g NULL 50759.165 191.853 15.736 0.004 0x00
OBS: 58956.450 i NULL 36742.203 212.865 16.087 0.006 0x00
OBS: 58964.430 r NULL 33670.471 295.232 16.182 0.010 0x00
OBS: 58967.490 i NULL 26069.776 130.197 16.460 0.005 0x00
OBS: 58967.490 r NULL 30306.967 145.950 16.296 0.005 0x00
OBS: 58979.330 z NULL 11765.628 225.167 17.323 0.021 0x00
OBS: 58979.330 r NULL 21441.581 156.972 16.672 0.008 0x00
OBS: 58986.270 g NULL 30432.615 169.462 16.292 0.006 0x00
OBS: 58986.270 r NULL 18038.860 129.868 16.859 0.008 0x00
OBS: 58990.270 g NULL 27734.100 198.757 16.392 0.008 0x00
OBS: 58990.270 i NULL 16004.614 131.995 16.989 0.009 0x00
OBS: 58994.270 r NULL 14975.649 131.663 17.062 0.010 0x00
OBS: 58994.270 g NULL 25892.438 153.009 16.467 0.006 0x00
OBS: 58998.270 g NULL 25055.220 160.564 16.503 0.007 0x00
OBS: 58998.270 i NULL 13922.009 134.975 17.141 0.011 0x00
OBS: 59004.310 i NULL 12328.480 200.810 17.273 0.018 0x00
OBS: 59008.290 z NULL 7217.412 143.904 17.854 0.022 0x00
OBS: 59008.290 r NULL 11008.626 123.607 17.396 0.012 0x00
OBS: 59011.290 r NULL 10076.237 140.502 17.492 0.015 0x00
OBS: 59011.290 i NULL 10890.916 138.686 17.407 0.014 0x00
OBS: 59015.280 g NULL 18523.247 122.958 16.831 0.007 0x00
OBS: 59015.280 z NULL 6561.890 172.116 17.957 0.028 0x00
OBS: 59022.270 r NULL 7887.387 80.096 17.758 0.011 0x00
OBS: 59022.280 g NULL 17574.671 168.238 16.888 0.010 0x00
OBS: 59034.300 i NULL 6846.002 113.844 17.911 0.018 0x00
OBS: 59039.300 r NULL 5374.414 125.376 18.174 0.025 0x00
OBS: 59039.300 i NULL 6474.231 176.931 17.972 0.030 0x00
OBS: 59041.280 z NULL 3940.156 105.998 18.511 0.029 0x00
OBS: 59041.280 r NULL 4895.229 76.149 18.276 0.017 0x00
OBS: 59044.270 g NULL 11666.157 139.247 17.333 0.013 0x00
OBS: 59044.270 i NULL 5729.200 105.497 18.105 0.020 0x00
OBS: 59048.280 g NULL 11752.698 145.111 17.325 0.013 0x00
OBS: 59048.280 r NULL 4641.443 85.799 18.333 0.020 0x00
END:
