SURVEY:  PS1MD
SNID:  2021tol
otherID: 
IAUC:    UNKNOWN
RA:        19.5024610  deg
DECL:       -1.5793510  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59432.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021tol.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.443 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 35
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59429.58 g NULL  6031.091 100.533 18.049 0.018 0x00
OBS: 59433.59 g NULL  3461.038 104.747 18.652 0.033 0x01
OBS: 59434.50 g NULL  3204.047 77.484 18.736 0.026 0x00
OBS: 59437.55 g NULL  2244.917 76.372 19.122 0.037 0x00
OBS: 59440.48 g NULL  1538.927 62.247 19.532 0.044 0x00
OBS: 59442.55 g NULL  1329.547 56.396 19.691 0.046 0x00
OBS: 59457.42 g NULL  872.966 78.376 20.148 0.097 0x00
OBS: 59464.54 g NULL  692.939 60.784 20.398 0.095 0x00
OBS: 59466.54 g NULL  556.852 48.262 20.636 0.094 0x00
OBS: 59468.45 g NULL  501.293 44.108 20.750 0.096 0x00
OBS: 59485.52 g NULL  411.175 103.789 20.965 0.274 0x00
OBS: 59492.49 g NULL  377.685 68.950 21.057 0.198 0x00
OBS: 59501.36 g NULL  388.393 70.940 21.027 0.198 0x00
OBS: 59525.38 g NULL  164.898 44.483 21.957 0.293 0x00
OBS: 59429.58 r NULL  7784.575 99.678 17.772 0.014 0x00
OBS: 59434.51 r NULL  6371.558 91.623 17.989 0.016 0x00
OBS: 59445.53 r NULL  2824.984 83.408 18.872 0.032 0x00
OBS: 59464.54 r NULL  1267.097 71.728 19.743 0.061 0x00
OBS: 59468.45 r NULL  1185.018 55.842 19.816 0.051 0x00
OBS: 59483.39 r NULL  852.608 89.408 20.173 0.114 0x00
OBS: 59511.34 r NULL  379.674 96.406 21.051 0.276 0x00
OBS: 59514.41 r NULL  374.479 59.754 21.066 0.173 0x00
OBS: 59525.38 r NULL  308.368 57.738 21.277 0.203 0x00
OBS: 59437.55 i NULL  4893.846 101.092 18.276 0.022 0x00
OBS: 59440.48 i NULL  4216.157 80.587 18.438 0.021 0x00
OBS: 59466.55 i NULL  1079.687 53.488 19.917 0.054 0x00
OBS: 59483.39 i NULL  598.282 96.721 20.558 0.176 0x00
OBS: 59485.52 i NULL  577.716 66.971 20.596 0.126 0x00
OBS: 59492.49 i NULL  542.671 68.711 20.664 0.137 0x00
OBS: 59498.42 i NULL  351.375 43.080 21.136 0.133 0x00
OBS: 59514.40 i NULL  241.049 54.940 21.545 0.247 0x00
OBS: 59442.55 z NULL  3839.000 104.650 18.539 0.030 0x00
OBS: 59445.53 z NULL  3279.765 122.040 18.710 0.040 0x00
OBS: 59457.42 z NULL  991.253 118.540 20.010 0.130 0x00
OBS: 59501.36 z NULL  215.914 90.369 21.664 0.454 0x00
OBS: 59511.33 z NULL  71.659 158.824 22.862 2.406 0x00
END:
